probPopping,threshold,numTargets,optimal,optimal2,time,noResolution
0,13,4,0.7,0.1,6.145093827798215,0
0.05,13,2,0.8,0.2,3.578007548007548,0
0.05,13,3,0.8,0.1,4.872111015470821,0
0.05,13,4,0.8,0.0,7.546654099803798,0
0.1,13,2,0.7,0.3,4.085390211484571,0
0.1,13,3,0.8,0.2,6.09895613842343,0
0.1,13,4,0.6,0.2,7.964059202579326,0
0.2,13,2,0.6,0.4,6.315042796041247,0
0.2,13,3,0.5,0.0,15.240414273226774,2
0.2,13,4,0.7,0.0,16.649645207733442,2
0,14,2,0.8,0.2,3.480388628100634,0
0,14,3,0.9,0.1,4.632628162249949,0
0,14,4,0.4,0.2,7.338227778631834,0
0.05,14,2,0.9,0.1,3.259792511410158,0
0.05,14,3,0.9,0.0,5.5657076017715355,0
0.05,14,4,0.5,0.2,8.393840405582363,0
0.1,14,2,0.6,0.4,4.8276432305224874,0
0.1,14,3,0.7,0.3,6.98340770051653,0
0.1,14,4,0.4,0.3,9.773056804878486,0
0.2,14,2,0.6,0.4,5.840267644292412,0
0.2,14,3,0.6,0.3,10.534594961070596,1
0.2,14,4,0.5,0.0,26.4170265284374,3
0,15,2,0.8,0.2,3.8116487688886393,0
0,15,3,0.7,0.2,5.134840772295821,0
0,15,4,0.4,0.1,6.317947933669131,0
0.05,15,2,0.5,0.5,4.527878644403413,0
0.05,15,3,0.7,0.0,6.1021230779759925,0
0.05,15,4,0.8,0.1,6.666807198812053,0
0.1,15,2,0.8,0.2,3.923444615043551,0
0.1,15,3,0.9,0.0,6.203608876036693,0
0.1,15,4,0.6,0.0,8.625304070492657,0
0.2,15,2,0.7,0.3,4.98179892265644,0
0.2,15,3,0.5,0.2,14.993399219306172,1
0.2,15,4,0.4,0.0,44.877967479373055,5
0,16,2,0.8,0.2,3.7591790831325094,0
0,16,3,0.6,0.3,5.563865704911523,0
0,16,4,0.9,0.0,5.96999356755922,0
0.05,16,2,0.9,0.1,3.677767427790647,0
0.05,16,3,0.6,0.3,5.561499049674545,0
0.05,16,4,0.9,0.1,7.294252347019269,0
0.1,16,2,1.0,0.0,4.187201105015143,0
0.1,16,3,0.9,0.0,7.312866391486159,0
0.1,16,4,0.8,0.0,9.98448459187367,0
0.2,16,2,0.6,0.4,5.504148351648351,0
0.2,16,3,0.8,0.0,12.705864813965723,1
0.2,16,4,0.4,0.0,44.94258659143462,5
0,17,2,0.8,0.2,3.8115960338476333,0
0,17,3,0.7,0.3,4.863744658560877,0
0,17,4,0.6,0.0,6.905882466275091,0
0.05,17,2,0.9,0.1,4.1599349441185,0
0.05,17,3,0.8,0.2,5.741183159087976,0
0.05,17,4,0.6,0.2,8.011476178465335,0
0.1,17,2,0.9,0.1,4.461570985420243,0
0.1,17,3,0.6,0.1,8.173573572179137,0
0.1,17,4,0.6,0.2,9.192905437027534,0
0.2,17,2,0.6,0.4,5.385814552664398,0
0.2,17,3,0.6,0.1,17.610574021342547,2
0.2,17,4,0.5,0.0,30.114895765282764,4
0,18,2,0.9,0.1,3.5185484378376986,0
0,18,3,0.9,0.0,4.956142066921805,0
0,18,4,0.7,0.1,6.81789518732154,0
0.05,18,2,0.9,0.1,3.6386502100572633,0
0.05,18,3,0.9,0.1,5.228727595542825,0
0.05,18,4,0.5,0.1,8.679544087477044,0
0.1,18,2,0.7,0.3,5.587922749829601,0
0.1,18,3,0.5,0.2,7.135056363650598,0
0.1,18,4,0.8,0.1,8.15244536862143,0
0.2,18,2,1.0,0.0,4.595973886597591,0
0.2,18,3,0.7,0.3,9.906206469877318,0
0.2,18,4,0.3,0.1,59.944112827317156,6
0,19,2,0.9,0.1,3.305905987430755,0
0,19,3,0.9,0.1,4.653389739094405,0
0,19,4,0.9,0.0,6.182045559567256,0
0.05,19,2,1.0,0.0,3.7881789310824217,0
0.05,19,3,0.8,0.1,6.666647099506027,0
0.05,19,4,0.4,0.1,9.913492287821732,0
0.1,19,2,0.8,0.2,4.609549445783124,0
0.1,19,3,0.4,0.3,8.349946306386599,0
0.1,19,4,0.8,0.0,8.06674871798332,0
0.2,19,2,0.9,0.0,8.21369212393485,1
0.2,19,3,0.9,0.0,9.85403821615672,0
0.2,19,4,0.6,0.0,35.15507460876477,4
0,20,2,0.9,0.1,3.694845988686983,0
0,20,3,0.8,0.2,5.502904726689232,0
0,20,4,0.7,0.1,6.709477428774441,0
0.05,20,2,1.0,0.0,3.490180969364193,0
0.05,20,3,0.6,0.2,6.654207064586776,0
0.05,20,4,0.8,0.0,7.724137922919345,0
0.1,20,2,1.0,0.0,4.3076770620713845,0
0.1,20,3,0.7,0.1,7.27051056055444,0
0.1,20,4,0.8,0.1,10.260545427647854,0
0.2,20,2,0.8,0.2,6.361722301155466,0
0.2,20,3,0.5,0.2,18.290958514001737,2
0.2,20,4,0.2,0.0,136.28858228974326,8
0,21,2,1.0,0.0,3.511935507199533,0
0,21,3,0.9,0.0,4.8910114898224455,0
0,21,4,0.7,0.1,7.825423902647657,0
0.05,21,2,0.7,0.3,4.392395193877096,0
0.05,21,3,0.7,0.0,6.589085002571923,0
0.05,21,4,0.6,0.1,9.154276970356598,0
0.1,21,2,1.0,0.0,4.966858316298303,0
0.1,21,3,0.8,0.0,7.042793034377048,0
0.1,21,4,0.7,0.1,9.544587676023443,0
0.2,21,2,1.0,0.0,4.26184698579103,0
0.2,21,3,0.4,0.2,18.127249525048754,1
0.2,21,4,0.3,0.0,78.83129236890848,7
0,22,2,1.0,0.0,3.8000739584190653,0
0,22,3,0.7,0.2,5.707928448297812,0
0,22,4,0.9,0.1,6.938777214115636,0
0.05,22,2,0.7,0.3,4.828379704539492,0
0.05,22,3,0.7,0.3,6.990476389022213,0
0.05,22,4,0.7,0.0,8.294427150414709,0
0.1,22,2,0.8,0.2,4.856855225165582,0
0.1,22,3,0.8,0.0,7.528749411990591,0
0.1,22,4,0.8,0.1,10.053628676102061,0
0.2,22,2,0.8,0.2,5.448104618687873,0
0.2,22,3,0.6,0.2,16.528426108317724,1
0.2,22,4,0.9,0.0,13.759193946665116,1
0,23,2,0.7,0.3,4.310677904380568,0
0,23,3,0.8,0.0,5.790160236178409,0
0,23,4,0.7,0.1,7.831818803809182,0
0.05,23,2,1.0,0.0,4.205589900524081,0
0.05,23,3,0.6,0.2,6.763134820307262,0
0.05,23,4,0.6,0.1,9.254396944297932,0
0.1,23,2,1.0,0.0,4.175071225472325,0
0.1,23,3,0.7,0.0,7.441418889672413,0
0.1,23,4,0.8,0.1,11.748580664239265,0
0.2,23,2,0.7,0.3,5.993333681267741,0
0.2,23,3,0.7,0.2,11.962860999411678,0
0.2,23,4,0.5,0.0,44.1842391478412,5
