startingContents,"(1, 1, 1)"
increaseBy,"(3, 2, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.05,21,0.63101,4.229909434613788,0
0.1,21,0.62336,4.684344480080412,17
0.2,21,0.59761,5.908911880039119,3551
0.0,22,0.6461,3.956256588134587,0
0.05,22,0.63071,4.3023105172601666,1
0.1,22,0.62398,4.753627925236769,12
0.2,22,0.59199,5.996370496805874,3784
0.0,23,0.63279,4.047095880525724,0
0.05,23,0.63601,4.360858775045913,0
0.1,23,0.62719,4.824679695571652,14
0.2,23,0.59737,6.042657826896343,3851
0.0,24,0.64419,4.093458990759263,0
0.05,24,0.64134,4.407060067207291,0
0.1,24,0.63037,4.884236833701091,12
0.2,24,0.59476,6.141338879180241,3928
0.0,25,0.64611,4.095955381176359,0
0.05,25,0.64143,4.463530095605194,1
0.1,25,0.63245,4.941756729110896,18
0.2,25,0.60125,6.1838626698485655,3968
0.0,30,0.65917,4.367067232103903,0
0.05,30,0.64826,4.719129723127819,0
0.1,30,0.64158,5.209064672642609,16
0.2,30,0.60274,6.458722264646281,4297
0.0,35,0.6599,4.548042158626827,0
0.05,35,0.65749,4.903977583000726,1
0.1,35,0.64642,5.435764934477585,18
0.2,35,0.60718,6.670726489237518,4854
0.0,40,0.67834,4.687767834776925,0
0.05,40,0.66466,5.088874321776047,0
0.1,40,0.65347,5.627832091777005,32
0.2,40,0.61327,6.832990860564976,5308
0.0,45,0.67905,4.833188230913843,0
0.05,45,0.66963,5.235544485675869,1
0.1,45,0.65784,5.795144514511167,33
0.2,45,0.61411,7.00830912010179,5471
0.0,50,0.68486,4.981346220076526,0
0.05,50,0.67717,5.37181337602021,1
0.1,50,0.66076,5.948888642551796,45
0.2,50,0.61753,7.132007979896571,5879
0.0,55,0.68939,5.06149120150851,0
0.05,55,0.6804,5.495149476462286,0
0.1,55,0.6641,6.087867069715567,37
0.2,55,0.62193,7.250239335945102,5807
0.0,60,0.69834,5.180201226150991,0
0.05,60,0.68424,5.598550102324574,1
0.1,60,0.66862,6.201938254866801,41
0.2,60,0.62215,7.37843180506429,6020
0.0,65,0.69456,5.282972314469757,0
0.05,65,0.68921,5.698310566322616,1
0.1,65,0.67167,6.310184528768306,60
0.2,65,0.62649,7.480002976658841,6273
0.0,70,0.70261,5.355308021114467,0
0.05,70,0.69053,5.8021297492120825,0
0.1,70,0.67496,6.413397322334697,60
0.2,70,0.6265,7.592110976600549,6413
0.0,75,0.70228,5.439533883606724,0
0.05,75,0.69279,5.88353226065391,0
0.1,75,0.67695,6.5250328262105155,53
0.2,75,0.62959,7.682563207875534,6453
0.0,80,0.70513,5.5317452716388,0
0.05,80,0.69761,5.962275499435022,2
0.1,80,0.6788,6.608208830508061,57
0.2,80,0.62874,7.776415910612363,6634
0.0,90,0.71346,5.656317470133307,0
0.05,90,0.70136,6.121040312846933,0
0.1,90,0.68507,6.763248238986978,90
0.2,90,0.63345,7.923690552189146,6818
0.0,100,0.7183,5.7657942636948745,0
0.05,100,0.70412,6.257543416499293,1
0.1,100,0.68823,6.906033974912965,92
0.2,100,0.63635,8.094694506972182,6741
0.0,110,0.72054,5.891229999271456,0
0.05,110,0.70926,6.360532394116299,2
0.1,110,0.69073,7.043924829700381,101
0.2,110,0.63777,8.237567400967135,6821
0.0,120,0.72524,5.987173242386264,0
0.05,120,0.71299,6.47252507757782,1
0.1,120,0.69372,7.158187762235777,117
0.2,120,0.63964,8.358760202743687,6847
0.0,130,0.73265,6.066438481623282,0
0.05,130,0.71686,6.568445428245517,0
0.1,130,0.69664,7.259395837770052,142
0.2,130,0.64155,8.498168027456826,6976
0.0,140,0.73166,6.165241273055753,0
0.05,140,0.71838,6.663661846959101,2
0.1,140,0.7006,7.355005257210385,148
0.2,140,0.64328,8.610862413566412,6859
0.0,150,0.73708,6.23746096953491,0
0.05,150,0.72182,6.749386154898178,0
0.1,150,0.70036,7.464949595253315,167
0.2,150,0.64412,8.703910132724117,6982
0.0,160,0.73961,6.30931368908108,0
0.05,160,0.72107,6.8305604623027865,2
0.1,160,0.70291,7.52689184777161,181
0.2,160,0.6476,8.80157889840979,6979
0.0,170,0.73972,6.388558686482074,0
0.05,170,0.72546,6.907849936107053,1
0.1,170,0.70455,7.624719595367721,231
0.2,170,0.64685,8.916363149648692,6863
0.0,180,0.74337,6.439999984681504,0
0.05,180,0.72773,6.971579213274274,0
0.1,180,0.70713,7.692450023498517,203
0.2,180,0.64983,8.98652973472424,6908
0.0,190,0.74703,6.503623607318351,0
0.05,190,0.73088,7.036524177704823,3
0.1,190,0.70913,7.779859826493155,248
0.2,190,0.64885,9.077106808533367,6963
0.0,200,0.74822,6.5638494925987105,0
0.05,200,0.73208,7.109211541711021,2
0.1,200,0.71252,7.8306471112521,226
0.2,200,0.64796,9.175273361110523,7009
0.0,210,0.75142,6.624409739871508,0
0.05,210,0.7333,7.160169312206743,2
0.1,210,0.71137,7.883034459551441,288
0.2,210,0.64858,9.248489398249047,6981
0.0,220,0.75329,6.664691929960786,0
0.05,220,0.73537,7.2236560245139545,0
0.1,220,0.70999,7.961747082983343,333
0.2,220,0.65407,9.305054667967738,6829
0.0,230,0.75334,6.7172608434572885,0
0.05,230,0.73646,7.273496504855726,2
0.1,230,0.71371,8.014678279833301,330
0.2,230,0.65212,9.380299999192125,6979
0.0,240,0.75593,6.772196408939133,0
0.05,240,0.74037,7.316109469562307,6
0.1,240,0.71735,8.059315074908923,373
