startingContents,"(1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.2,30,0.52875,13.19564487112175,46840
0.0,35,0.76932,8.64867746450913,0
0.05,35,0.74486,10.14794559674897,0
0.1,35,0.70114,12.496050022128987,2332
0.2,35,0.52472,13.712806581881045,47415
0.0,40,0.77926,9.002489111139381,0
0.05,40,0.75631,10.547510552176387,3
0.1,40,0.70495,12.91003211220354,2982
0.2,40,0.52772,14.15070206608006,47185
0.0,45,0.79306,9.26213955610392,0
0.05,45,0.76492,10.88104440809779,5
0.1,45,0.71208,13.22423809061752,3981
0.2,45,0.52423,14.548308328639115,47564
0.0,50,0.79894,9.559765028586845,0
0.05,50,0.77262,11.19185697560161,9
0.1,50,0.7189,13.435598595383048,5102
0.2,50,0.51874,14.880781057147715,48120
0.0,55,0.81137,9.755314801352473,0
0.05,55,0.77767,11.471082561601172,7
0.1,55,0.71921,13.645109166601804,6284
0.2,55,0.51943,15.242406700529607,48055
0.0,60,0.81647,9.98956111505851,0
0.05,60,0.78365,11.712828719928764,15
0.1,60,0.72369,13.808948893257934,7407
0.2,60,0.5158,15.490358120082353,48420
0.0,65,0.82495,10.150815402968785,0
0.05,65,0.78577,11.951159655057776,18
0.1,65,0.7246,13.955716868008022,8721
0.2,65,0.51592,15.742057939120397,48407
0.0,70,0.82892,10.353488941937789,0
0.05,70,0.78916,12.174936660820258,21
0.1,70,0.72715,14.054407572631826,9808
0.2,70,0.50971,15.997535179617625,49029
0.0,75,0.83603,10.48826383831016,0
0.05,75,0.79521,12.338915645990879,36
0.1,75,0.72437,14.140196324600563,11469
0.2,75,0.50841,16.205186620557836,49159
0.0,80,0.84004,10.651465030208653,0
0.05,80,0.7969,12.534689991510275,44
0.1,80,0.72839,14.172069996169421,12602
0.2,80,0.50747,16.423744676264416,49253
0.0,90,0.84934,10.925013262062377,0
0.05,90,0.80422,12.846501348234924,90
0.1,90,0.73039,14.230314872896598,15252
0.2,90,0.50263,16.815647894333484,49737
0.0,100,0.85743,11.164461205698837,0
0.05,100,0.80935,13.136232021155383,108
0.1,100,0.73141,14.290813883698027,17329
0.2,100,0.49642,17.123336274213734,50358
0.0,110,0.86189,11.393204864599406,0
0.05,110,0.81276,13.395120548112539,172
0.1,110,0.73371,14.271331556138938,19213
0.2,110,0.49358,17.382192228054418,50642
0.0,120,0.86756,11.591927927349035,0
0.05,120,0.81634,13.607958175985628,281
0.1,120,0.73328,14.338326568682767,20950
0.2,120,0.49226,17.653412770357875,50774
0.0,130,0.87372,11.773106140168498,0
0.05,130,0.82123,13.815809571505522,421
0.1,130,0.73264,14.359795613064488,22414
0.2,130,0.4877,17.863603908206603,51230
0.0,140,0.87749,11.95097197171149,0
0.05,140,0.8208,14.019676397614692,555
0.1,140,0.73427,14.401532380309416,23328
0.2,140,0.48588,18.108906808622713,51412
0.0,150,0.88149,12.088813535930992,0
0.05,150,0.82348,14.166892524575236,704
0.1,150,0.7327,14.474905262741956,24344
0.2,150,0.47777,18.28992589413511,52223
0.0,160,0.88556,12.233166814116318,0
0.05,160,0.82133,14.362681085518833,1008
0.1,160,0.73178,14.567109178949787,25002
0.2,160,0.47782,18.484735885563047,52218
0.0,170,0.88853,12.372407791127031,0
0.05,170,0.82279,14.490628237726156,1290
0.1,170,0.73257,14.643973009752052,25458
0.2,170,0.47328,18.65120852458679,52672
0.0,180,0.89452,12.477633674035328,0
0.05,180,0.82853,14.599091212108615,1524
0.1,180,0.73226,14.747317546347247,25855
0.2,180,0.47079,18.817030238544824,52921
0.0,190,0.8956,12.599819586168232,0
0.05,190,0.83028,14.694366181144668,1982
0.1,190,0.73103,14.846952443304799,26223
0.2,190,0.46639,18.947603034563645,53361
0.0,200,0.89901,12.713130430858575,0
0.05,200,0.83114,14.783867608742614,2362
0.1,200,0.73254,14.905646425046974,26307
0.2,200,0.46391,19.094727373203153,53609
0.0,210,0.89884,12.832289410847679,0
0.05,210,0.83277,14.84562982194011,2857
0.1,210,0.73017,15.011067928744266,26686
0.2,210,0.45928,19.223513233140885,54072
0.0,220,0.90126,12.946403050021592,0
0.05,220,0.83344,14.929610197021118,3309
0.1,220,0.72948,15.125291700790697,26838
0.2,220,0.4561,19.339202993778418,54390
0.0,230,0.9045,13.03551652412007,0
0.05,230,0.83467,14.994076694257263,3943
0.1,230,0.73318,15.230244312616197,26533
0.2,230,0.45297,19.440487502025707,54703
0.0,240,0.90699,13.114440804972805,0
0.05,240,0.83486,15.038697720566281,4454
0.1,240,0.73049,15.323172920777317,26875
0.2,240,0.44912,19.58961482647932,55088
0.0,250,0.90786,13.212608183993579,0
0.05,250,0.83437,15.098058016163245,5163
0.1,250,0.73028,15.410595252076881,26911
0.2,250,0.4449,19.69308793464618,55510
0.0,260,0.91001,13.286675697214047,0
0.05,260,0.83632,15.109696189182758,5847
0.1,260,0.72866,15.486362525189405,27098
0.2,260,0.44299,19.820972463071108,55701
0.0,270,0.91136,13.385623664529014,0
0.05,270,0.83412,15.164575618158022,6307
0.1,270,0.72616,15.58300359625412,27358
0.2,270,0.43797,19.87703232278238,56203
0.0,280,0.91219,13.47209867327547,0
0.05,280,0.83726,15.173169873004156,6873
0.1,280,0.72412,15.65798359270098,27577
0.2,280,0.44059,19.986931636919703,55941
0.0,290,0.9149,13.538788018021817,0
0.05,290,0.83645,15.207913460555357,7572
0.1,290,0.72301,15.746739351562312,27691
0.2,290,0.4323,20.073564375155065,56770
0.0,300,0.91632,13.598383978441815,0
0.05,300,0.8383,15.21511188935126,8057
0.1,300,0.72734,15.844032208886508,27259
0.2,300,0.43027,20.153535900064725,56973
