probPopping,Threshold,ShareOptimal,Time,NoResolution
0.2,210,0.46098,19.23105948,53902
0,220,0.84247,12.68573482,0
0.05,220,0.80827,14.88522308,592
0.1,220,0.73081,15.29282523,25289
0.15,220,0.60943,16.89543722,39057
0.2,220,0.45673,19.35394808,54327
0,230,0.84351,12.7964092,0
0.05,230,0.8119,14.97856025,676
0.1,230,0.7315,15.34847439,25660
0.15,230,0.60863,17.02007033,39137
0.2,230,0.45045,19.48879849,54955
0,240,0.8485,12.88210815,0
0.05,240,0.81239,15.09832339,794
0.1,240,0.72905,15.40864163,26179
0.15,240,0.60912,17.13141004,39088
0.2,240,0.44749,19.59829059,55251
0,250,0.85204,12.98239684,0
0.05,250,0.81346,15.193885,903
0.1,250,0.72769,15.46032388,26634
0.15,250,0.60884,17.25030519,39116
0.2,250,0.44297,19.69458583,55703
0,260,0.8517,13.08013889,0
0.05,260,0.81527,15.29456177,1028
0.1,260,0.72762,15.53540316,26795
0.15,260,0.60537,17.33263839,39463
0.2,260,0.44421,19.77113993,55579
0,270,0.85776,13.15218454,0
0.05,270,0.81687,15.37338341,1247
0.1,270,0.72487,15.6080923,27223
0.15,270,0.60219,17.4392962,39781
0.2,270,0.43702,19.88461272,56298
0,280,0.85816,13.24723713,0
0.05,280,0.81702,15.44840016,1444
0.1,280,0.7245,15.66994908,27325
0.15,280,0.60313,17.53715843,39687
0.2,280,0.43326,19.96991259,56674
0,290,0.86154,13.31861879,0
0.05,290,0.82028,15.52847598,1580
0.1,290,0.72756,15.753374,27104
0.15,290,0.60174,17.61522932,39826
0.2,290,0.43555,20.07448632,56445
0,300,0.86054,13.40801737,0
0.05,300,0.82148,15.593947,1827
0.1,300,0.72619,15.84504544,27289
0.15,300,0.59741,17.70617674,40259
0.2,300,0.42883,20.13531273,57117
