startingContents,"(1, 1, 1)"
increaseBy,"((3, 1), (2, 2), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.0,16,0.4474,0.48376,4.284880461374737,0
0.05,16,0.4431,0.48776,4.669840846598716,0
0.1,16,0.44161,0.48702,5.24471748748015,19
0.15,16,0.43721,0.47947,6.226453397787227,244
0.2,16,0.42676,0.468,8.207671874384587,3055
0.0,17,0.44187,0.4935,4.3356319706293105,0
0.05,17,0.44652,0.48943,4.763252497590186,0
0.1,17,0.44642,0.48521,5.355962227132423,12
0.15,17,0.43898,0.48103,6.3504348534734545,253
0.2,17,0.42521,0.47014,8.398594239421499,3124
0.0,18,0.45154,0.48632,4.466356880103367,0
0.05,18,0.44945,0.48909,4.873052920618977,1
0.1,18,0.44388,0.48929,5.476507697208063,13
0.15,18,0.44096,0.4802,6.479171148110561,222
0.2,18,0.42869,0.46821,8.57035953439342,3241
0.0,19,0.44303,0.49774,4.524878976372433,0
0.05,19,0.44729,0.49293,4.970461902022637,1
0.1,19,0.44596,0.49049,5.5818162989563955,9
0.15,19,0.44061,0.48233,6.630504893176533,274
0.2,19,0.4292,0.46844,8.748097189124714,3349
0.0,20,0.45178,0.48989,4.6383716946431175,0
0.05,20,0.45065,0.49265,5.05096979715182,0
0.1,20,0.44683,0.49105,5.6860306256669775,12
0.15,20,0.43926,0.483,6.753177170501117,266
0.2,20,0.42794,0.469,8.921652272371547,3459
0.0,21,0.44627,0.50002,4.6793797595567925,0
0.05,21,0.44783,0.49682,5.137064634909677,0
0.1,21,0.44687,0.49207,5.787603220970581,16
0.15,21,0.44164,0.48423,6.840841988783418,278
0.2,21,0.4316,0.46809,9.03297523205382,3532
0.0,22,0.45313,0.49402,4.790995225532108,0
0.05,22,0.45128,0.49598,5.218716920236537,1
0.1,22,0.45223,0.48733,5.88306522699376,13
0.15,22,0.44273,0.4847,6.947949472743786,272
0.2,22,0.43048,0.47142,9.149279250030698,3560
0.0,23,0.44742,0.50379,4.824908148331138,0
