startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(5, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time
0.05,130,0.88719,9.053426216872996
0.06,130,0.87591,9.169600265394804
0.07,130,0.86625,9.275226859257119
0.08,130,0.85445,9.415902535220548
0.09,130,0.84374,9.549176396728727
0.1,130,0.83222,9.708654974569692
0.0,135,0.96828,8.393411461577594
0.01,135,0.94847,8.547974191507974
0.02,135,0.93329,8.678940716630539
0.03,135,0.91761,8.818879409174725
0.04,135,0.90094,9.005864731803351
0.05,135,0.88722,9.14378643264333
0.06,135,0.87793,9.200649257350658
0.07,135,0.86626,9.330918075616474
0.08,135,0.85308,9.493511452048018
0.09,135,0.84558,9.595321135360058
0.1,135,0.83366,9.740564586095932
0.0,140,0.96971,8.434745252054297
0.01,140,0.95009,8.594548208629654
0.02,140,0.93513,8.712646954894538
0.03,140,0.91747,8.889710230693385
0.04,140,0.90368,9.005730768981044
0.05,140,0.89055,9.147215836785572
0.06,140,0.87717,9.27787666903043
0.07,140,0.86572,9.417430902909096
0.08,140,0.85199,9.591286715506715
0.09,140,0.84429,9.658304249301096
0.1,140,0.83509,9.778364650520286
0.0,145,0.96936,8.488535720934639
0.01,145,0.95143,8.62240271708805
0.02,145,0.93379,8.783488721215665
0.03,145,0.91923,8.916397803768323
0.04,145,0.90409,9.045960222813255
0.05,145,0.88986,9.21477272150874
0.06,145,0.87737,9.3596566105647
0.07,145,0.86566,9.4693092909755
0.08,145,0.85344,9.632057804196823
0.09,145,0.84387,9.738532319258333
0.1,145,0.832,9.895909535579172
0.0,150,0.97066,8.5392586896708
0.01,150,0.95206,8.665568636799337
0.02,150,0.93586,8.800088425307404
0.03,150,0.91941,8.963846821160502
0.04,150,0.90571,9.077626590374068
0.05,150,0.88917,9.269594288519693
0.06,150,0.87733,9.373414601824534
0.07,150,0.86781,9.481889867298468
0.08,150,0.85272,9.6661212303507
0.09,150,0.84307,9.80998303286455
0.1,150,0.83544,9.91108157031181
