startingContents,"(1, 1, 1)"
increaseBy,"((3, 3), (1, 1), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.15,39,0.76105,0.11265,9.12204351112985,1176
0.2,39,0.70455,0.07405,14.397467431723708,14880
0.0,40,0.90289,0.04818,5.399385909585425,0
0.05,40,0.86243,0.06895,6.074450554781759,1
0.1,40,0.81513,0.09035,7.1228760902860895,31
0.15,40,0.75896,0.11343,9.234703582613465,1289
0.2,40,0.70594,0.07167,14.444593668889034,15037
0.0,41,0.90168,0.04871,5.47101710709644,0
0.05,41,0.8651,0.06699,6.092002665906789,0
0.1,41,0.81651,0.09217,7.155807649373921,20
0.15,41,0.76303,0.11235,9.201555710961442,1213
0.2,41,0.70473,0.07143,14.565099635634676,15274
0.0,42,0.90469,0.04799,5.468184949727538,0
0.05,42,0.86626,0.06568,6.116503099768216,0
0.1,42,0.81711,0.0926,7.195894878292898,34
0.15,42,0.76354,0.1113,9.27978026706237,1357
0.2,42,0.70642,0.06884,14.631342523081459,15436
0.0,43,0.90805,0.04596,5.477372379331528,0
0.05,43,0.86502,0.06797,6.176695070609003,1
0.1,43,0.81705,0.09067,7.258391436638597,31
0.15,43,0.76055,0.11244,9.410707469633232,1419
0.2,43,0.70716,0.068,14.719909582185656,15665
0.0,44,0.90686,0.04649,5.554714809539707,0
0.05,44,0.8687,0.06527,6.182474570609754,0
0.1,44,0.8188,0.0893,7.274972850569187,29
0.15,44,0.76279,0.11128,9.428054827738649,1467
0.2,44,0.70459,0.06676,14.919009143626408,16094
0.0,45,0.90774,0.04564,5.5638881013941495,0
0.05,45,0.86823,0.06575,6.21407328020798,0
0.1,45,0.81988,0.09012,7.3128835114463415,36
0.15,45,0.76305,0.11243,9.465215315647347,1451
0.2,45,0.70492,0.06628,15.023972941462874,16375
0.0,46,0.9114,0.04387,5.564211909951841,0
0.05,46,0.86996,0.06542,6.248987133385024,1
0.1,46,0.81919,0.08985,7.3473771213843255,35
0.15,46,0.7625,0.1108,9.530578987139092,1486
0.2,46,0.70377,0.06476,15.143232522773685,16580
0.0,47,0.91045,0.04483,5.630859480301562,0
0.05,47,0.87067,0.06424,6.278435375285923,0
0.1,47,0.81791,0.09051,7.407558833135382,39
0.15,47,0.76064,0.11229,9.612098243538357,1460
