startingContents,"(1, 1, 1)"
increaseBy,"((3, 1), (2, 2), (1, 1))"
Iterations,10000
shareFirstAttribute,"0.5"

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.2,17,0.4318,0.5049,7.201266591659574,416
0.0,18,0.4529,0.4828,4.489987131808526,0
0.05,18,0.4508,0.4872,4.891413125269209,0
0.1,18,0.4443,0.4929,5.488728294013253,0
0.15,18,0.4445,0.4819,6.366583942521098,46
0.2,18,0.4352,0.5082,7.3058464018765825,452
0.0,19,0.4481,0.4975,4.515469304893837,0
0.05,19,0.4565,0.4838,4.958535643933062,1
0.1,19,0.4455,0.4862,5.6081371723748346,3
0.15,19,0.4382,0.4918,6.490926716783193,56
0.2,19,0.4347,0.5128,7.436698149051347,438
0.0,20,0.4517,0.4861,4.641687437424625,0
0.05,20,0.4468,0.4929,5.07307386592968,0
0.1,20,0.4543,0.482,5.697118915033545,0
0.15,20,0.4384,0.4908,6.578476606111768,59
0.2,20,0.4344,0.5108,7.574046507284018,489
0.0,21,0.4461,0.5012,4.66791009846025,0
0.05,21,0.4557,0.4899,5.134399531486372,0
0.1,21,0.4476,0.4874,5.781124885217006,1
0.15,21,0.4407,0.4903,6.752715544761287,47
0.2,21,0.4304,0.52,7.626510382239468,465
0.0,22,0.4582,0.4897,4.792895033660524,0
0.05,22,0.4504,0.4962,5.21761596243254,1
0.1,22,0.4563,0.4855,5.877262208669913,1
0.15,22,0.4372,0.4989,6.766392896672628,70
0.2,22,0.4274,0.5203,7.79116192779367,500
0.0,23,0.4472,0.5002,4.82935123437975,0
0.05,23,0.4452,0.5031,5.287271491508553,0
0.1,23,0.4487,0.4942,5.965089034808134,5
0.15,23,0.4361,0.4999,6.905609877480288,68
0.2,23,0.4264,0.5246,7.972139970914146,539
0.0,24,0.4578,0.4939,4.911384340186067,0
0.05,24,0.4415,0.5047,5.370554839327329,0
0.1,24,0.4399,0.5052,6.049175830599127,1
0.15,24,0.4387,0.4988,6.9846940232227315,57
0.2,24,0.4298,0.526,7.9445642947622765,536
0.0,25,0.4469,0.5082,4.935893994741709,0
0.05,25,0.4503,0.4972,5.450275897430205,0
0.1,25,0.4536,0.4911,6.096488931905983,2
0.15,25,0.4491,0.4871,7.100133841609766,68
0.2,25,0.4396,0.5184,7.99954434044955,551
0.0,30,0.4581,0.4984,5.291932235917942,0
0.05,30,0.4546,0.5,5.762163813035258,0
0.1,30,0.4603,0.4865,6.475680185493111,1
0.15,30,0.4492,0.4927,7.499605791361328,86
0.2,30,0.441,0.5246,8.354500674453828,563
0.0,35,0.4536,0.5122,5.4708666962359205,0
0.05,35,0.4567,0.5048,6.043942852197359,0
0.1,35,0.4532,0.4995,6.779130135986057,3
0.15,35,0.4507,0.4937,7.759802156122931,89
0.2,35,0.4286,0.5417,8.717182584250454,632
0.0,40,0.4646,0.5066,5.689639989606332,0
0.05,40,0.4602,0.5088,6.224715166260067,0
0.1,40,0.4595,0.4965,7.027509102853385,2
0.15,40,0.4462,0.5011,8.121939713101725,115
0.2,40,0.4322,0.5407,9.032523462270586,745
0.0,45,0.4671,0.5024,5.878700296260616,0
0.05,45,0.4542,0.5118,6.463621795067961,0
0.1,45,0.4607,0.4957,7.273962243900205,3
0.15,45,0.4414,0.5061,8.326742124339962,92
0.2,45,0.4375,0.5442,9.149243785815933,700
0.0,50,0.4656,0.5069,6.071560798996079,0
0.05,50,0.4643,0.5073,6.635723460590587,0
0.1,50,0.4607,0.4994,7.441798843195092,8
0.15,50,0.4491,0.5022,8.538454237479376,144
0.2,50,0.4413,0.5387,9.447477280050958,764
0.0,55,0.4651,0.5105,6.163636197421262,0
0.05,55,0.461,0.5122,6.760035045899071,0
0.1,55,0.4558,0.5064,7.629978043518168,2
