startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.09,10,0.55229,9.648336675452866,3
0.1,10,0.54919,10.405294141291277,20
0.0,11,0.58212,6.750450087697326,0
0.01,11,0.5845,6.980382481381111,0
0.02,11,0.57892,7.251018334286576,0
0.03,11,0.57846,7.523250621477388,0
0.04,11,0.57647,7.833319504038382,0
0.05,11,0.57504,8.172602196353864,0
0.06,11,0.57588,8.559702351335929,0
0.07,11,0.57312,9.016916081237984,0
0.08,11,0.57171,9.549753719863713,1
0.09,11,0.56517,10.213080735554469,4
0.1,11,0.55933,11.008454299283656,20
0.0,12,0.58293,7.180365031583931,0
0.01,12,0.58866,7.387307864101571,0
0.02,12,0.58852,7.630571973401632,0
0.03,12,0.58786,7.910572241563534,0
0.04,12,0.58596,8.22050890423591,0
0.05,12,0.5883,8.58384726292476,0
0.06,12,0.58662,8.990535587817584,0
0.07,12,0.5828,9.484109846572878,0
0.08,12,0.58064,10.041194559876562,0
0.09,12,0.57506,10.726084161610078,5
0.1,12,0.57033,11.582127053175558,33
0.0,13,0.60966,7.3414269948462545,0
0.01,13,0.60558,7.594271783497937,0
0.02,13,0.60337,7.887363416137394,0
0.03,13,0.60259,8.18893497316256,0
0.04,13,0.60406,8.524015350536581,0
0.05,13,0.60162,8.898866616327453,0
0.06,13,0.59802,9.345455378016773,0
0.07,13,0.59338,9.867343015256138,0
0.08,13,0.59072,10.473111310985686,4
0.09,13,0.58717,11.163839270036885,2
0.1,13,0.57938,12.08593865404544,37
0.0,14,0.60803,7.701264974559514,0
0.01,14,0.61261,7.925558788671903,0
0.02,14,0.6116,8.210347661235181,0
0.03,14,0.6129,8.506341230151662,0
0.04,14,0.61462,8.834537190701175,0
0.05,14,0.6082,9.254834528534673,0
0.06,14,0.60555,9.71636683653209,0
0.07,14,0.60118,10.25344323767267,0
0.08,14,0.60033,10.850007138109044,1
0.09,14,0.59372,11.621750649459209,6
0.1,14,0.58612,12.560981845484383,25
0.0,15,0.62835,7.841319333302173,0
0.01,15,0.62626,8.126351994928795,0
0.02,15,0.62483,8.42199678277046,0
0.03,15,0.62046,8.762468909426424,0
0.04,15,0.62145,9.129335356720528,0
0.05,15,0.62089,9.527872581981836,0
