startingContents,"(1, 1, 1, 1, 1)"
increaseBy,"(2, 1, 1, 1, 1)"
Iterations,100000

probPopping,Threshold,ShareOptimal,Time,NoResolution
0.05,6,0.4929,6.235923011177506,0
0.06,6,0.49233,6.692277688245206,0
0.07,6,0.49604,7.207704435252977,1
0.08,6,0.49271,7.8323322836266565,0
0.09,6,0.49078,8.533812469421717,3
0.1,6,0.48763,9.372548030152663,24
0.0,7,0.5177,5.11013225599501,0
0.01,7,0.51697,5.445739235409576,0
0.02,7,0.5158,5.821333511519426,0
0.03,7,0.52377,6.222600576692206,0
0.04,7,0.51878,6.696032754392324,0
0.05,7,0.52598,7.246506844824972,0
0.06,7,0.52542,7.880213442978269,0
0.07,7,0.52299,8.666671076196529,3
0.08,7,0.52022,9.540768030798649,4
0.09,7,0.51271,10.558629389619263,57
0.1,7,0.50817,11.713340249687537,214
0.0,8,0.51113,5.75906876974987,0
0.01,8,0.52858,6.097275899212791,0
0.02,8,0.53739,6.514457352805998,0
0.03,8,0.5439,7.008721406746302,0
0.04,8,0.54676,7.59818910854386,0
0.05,8,0.5504,8.295928273078244,0
0.06,8,0.54816,9.14696364660565,1
0.07,8,0.5438,10.218709731518652,10
0.08,8,0.54269,11.385306147397436,71
0.09,8,0.53495,12.735737851931136,382
0.1,8,0.52581,14.156768685342106,1144
0.0,9,0.55694,6.021392184257733,0
0.01,9,0.5564,6.499633206837555,0
0.02,9,0.56087,7.0331408952994225,0
0.03,9,0.56844,7.658052794515895,0
0.04,9,0.5725,8.399867869210944,0
0.05,9,0.57069,9.316885208767214,0
0.06,9,0.571,10.440788812199347,14
0.07,9,0.5669,11.76008358358998,100
0.08,9,0.55679,13.280847944789329,523
0.09,9,0.547,14.85585467477289,1525
0.1,9,0.53768,16.339345067158554,3622
0.0,10,0.55303,6.5471598944685505,0
0.01,10,0.56765,7.020632081069736,0
0.02,10,0.57942,7.594467822300791,0
0.03,10,0.59053,8.314351820752027,0
0.04,10,0.59146,9.219623168732644,0
0.05,10,0.59499,10.376314645412162,3
0.06,10,0.5879,11.827173913470583,84
0.07,10,0.58513,13.417592946355784,488
0.08,10,0.57323,15.065867773017986,1708
0.09,10,0.56054,16.59275650967925,4213
