startingContents,"(1, 1)"
increaseBy,"((2, 2), (1, 1))"
Iterations,100000

probPopping,Threshold,ShareOptimal,ShareOptimal2,Time,NoResolution
0.2,16,0.7604,0.22696,6.056013003588264,1264
0.0,17,0.8251,0.1749,3.6760992676847963,0
0.05,17,0.81417,0.18575,3.9899930279822433,8
0.1,17,0.80308,0.19612,4.415000312535941,80
0.15,17,0.78578,0.21022,5.07794116479161,400
0.2,17,0.76365,0.22304,6.189940935753699,1331
0.0,18,0.82122,0.17878,3.795542258916695,0
0.05,18,0.81803,0.18194,4.072740088832112,3
0.1,18,0.80725,0.192,4.494424057516897,75
0.15,18,0.78966,0.20658,5.1596159319474175,376
0.2,18,0.76567,0.22185,6.277768568207314,1248
0.0,19,0.83018,0.16982,3.81481526596891,0
0.05,19,0.82155,0.17833,4.139156206284983,12
0.1,19,0.80954,0.18961,4.578143321499404,85
0.15,19,0.79295,0.20284,5.259872415415599,421
0.2,19,0.76781,0.21857,6.394758615442084,1362
0.0,20,0.8311,0.1689,3.9166241462043994,0
0.05,20,0.82537,0.17447,4.214993521244322,16
0.1,20,0.81428,0.18488,4.645487825346525,84
0.15,20,0.7938,0.20213,5.3395098112080355,407
0.2,20,0.76955,0.2178,6.4801036296149785,1265
0.0,21,0.83905,0.16095,3.9281231393654887,0
0.05,21,0.82996,0.16994,4.268472463230773,10
0.1,21,0.81504,0.18417,4.721749358155843,79
0.15,21,0.79594,0.19988,5.423799586732555,418
0.2,21,0.77157,0.21489,6.582581280370726,1354
0.0,22,0.83443,0.16557,4.036914207826429,0
0.05,22,0.83139,0.16853,4.339651733958204,8
0.1,22,0.81741,0.18177,4.788341167331807,82
0.15,22,0.79977,0.19619,5.496373515372067,404
0.2,22,0.77137,0.21587,6.677378639228045,1276
0.0,23,0.84324,0.15676,4.046753735852278,0
0.05,23,0.83443,0.1655,4.38449224827663,7
0.1,23,0.82025,0.17896,4.846549957025479,79
0.15,23,0.80029,0.19581,5.566758991033142,390
0.2,23,0.77367,0.21305,6.751503564881821,1328
0.0,24,0.84184,0.15816,4.133671623823954,0
0.05,24,0.83708,0.16285,4.446586404272545,7
0.1,24,0.82248,0.17664,4.912626136726236,88
0.15,24,0.80252,0.19376,5.623451176906307,372
0.2,24,0.77531,0.2112,6.8384876509740815,1349
0.0,25,0.85069,0.14931,4.139168416773798,0
0.05,25,0.84095,0.15892,4.491318524310998,13
0.1,25,0.82668,0.17248,4.957718637767448,84
0.15,25,0.80535,0.19088,5.684504866634342,377
0.2,25,0.77557,0.21163,6.9080950408829,1280
0.0,26,0.84723,0.15277,4.225125080042188,0
0.05,26,0.84143,0.15851,4.544570741233643,6
0.1,26,0.82841,0.17069,5.009672132073494,90
0.15,26,0.80546,0.19065,5.752727071676354,389
0.2,26,0.77604,0.21048,6.981107776517292,1348
0.0,27,0.85489,0.14511,4.235968063288554,0
0.05,27,0.84434,0.15557,4.591066760872446,9
0.1,27,0.82879,0.17048,5.0666187882146705,73
0.15,27,0.80736,0.18872,5.813309238748649,392
0.2,27,0.77842,0.20823,7.0356832869795625,1335
0.0,28,0.85587,0.14413,4.302525814193987,0
0.05,28,0.84588,0.15409,4.63668929591372,3
0.1,28,0.83224,0.1668,5.117269300592347,96
0.15,28,0.80846,0.1877,5.873224368854199,384
0.2,28,0.77941,0.20779,7.1037890923136136,1280
0.0,29,0.85918,0.14082,4.316825784339573,0
0.05,29,0.84943,0.15048,4.674468087231924,9
0.1,29,0.8321,0.16693,5.169081607910485,97
0.15,29,0.81136,0.18472,5.91959181352112,392
0.2,29,0.78062,0.20572,7.1777659953870945,1366
0.0,30,0.85673,0.14327,4.391306751541913,0
0.05,30,0.84856,0.15142,4.731632055090794,2
0.1,30,0.83181,0.16729,5.223353149861916,90
0.15,30,0.8121,0.18382,5.970788998569795,408
0.2,30,0.78088,0.20583,7.238502551569731,1329
0.0,31,0.86568,0.13432,4.3898238891231784,0
0.05,31,0.85316,0.14673,4.758617138853201,11
0.1,31,0.83685,0.16234,5.250002477917394,81
0.15,31,0.81334,0.18264,6.025368954657624,402
0.2,31,0.78051,0.20563,7.330320665796767,1386
0.0,32,0.86325,0.13675,4.459147838884527,0
0.05,32,0.8538,0.14615,4.7940813804412,5
0.1,32,0.8361,0.16296,5.3061001494175954,94
0.15,32,0.81094,0.18472,6.085529794114463,434
0.2,32,0.78224,0.20489,7.34697935949484,1287
0.0,33,0.86688,0.13312,4.467217729683489,0
0.05,33,0.85678,0.14315,4.828699337872478,7
0.1,33,0.84156,0.15764,5.324856085751375,80
0.15,33,0.81491,0.1811,6.117590869542759,399
0.2,33,0.78302,0.20388,7.412260494375017,1310
0.0,34,0.86651,0.13349,4.529375067863324,0
0.05,34,0.85661,0.14328,4.8718936313790655,11
0.1,34,0.84082,0.15838,5.377514034264043,80
0.15,34,0.81608,0.18015,6.15145365426678,377
0.2,34,0.78394,0.20283,7.459991130261586,1323
0.0,35,0.87018,0.12982,4.537407939648822,0
0.05,35,0.85685,0.14309,4.9097812391574465,6
0.1,35,0.84107,0.1582,5.418194619313786,73
0.15,35,0.81727,0.17912,6.199760186347114,361
0.2,35,0.78297,0.20377,7.5280284557302215,1326
