probPopping,threshold,numChoices,share1,share2,time,noResolution,startingContents,increaseRates
0,60,2,0.96376,0.03624,3.384508238416104,0,"(1, 1)","((4,), (1,))"
0,60,2,0.78067,0.21933,3.0125442061346157,0,"(1, 1)","((4,), (2,))"
0,60,2,0.61264,0.38736,2.6605032563076696,0,"(1, 1)","((4,), (3,))"
0,61,2,0.96493,0.03507,3.390785651363777,0,"(1, 1)","((4,), (1,))"
0,61,2,0.78133,0.21867,3.0153639770595073,0,"(1, 1)","((4,), (2,))"
0,61,2,0.61075,0.38925,2.6615399294107562,0,"(1, 1)","((4,), (3,))"
0,62,2,0.96425,0.03575,3.425001950099083,0,"(1, 1)","((4,), (1,))"
0,62,2,0.77952,0.22048,3.0486062799971214,0,"(1, 1)","((4,), (2,))"
0,62,2,0.61048,0.38952,2.6930885398852062,0,"(1, 1)","((4,), (3,))"
0,63,2,0.96502,0.03498,3.4175419702998235,0,"(1, 1)","((4,), (1,))"
0,63,2,0.77899,0.22101,3.0509837578516645,0,"(1, 1)","((4,), (2,))"
0,63,2,0.6093,0.3907,2.6936416215189865,0,"(1, 1)","((4,), (3,))"
0,64,2,0.96511,0.03489,3.4247664099394313,0,"(1, 1)","((4,), (1,))"
0,64,2,0.78388,0.21612,3.055419385366853,0,"(1, 1)","((4,), (2,))"
0,64,2,0.61192,0.38808,2.693186297016278,0,"(1, 1)","((4,), (3,))"
0,65,2,0.96618,0.03382,3.426464030007387,0,"(1, 1)","((4,), (1,))"
0,65,2,0.78157,0.21843,3.06264116000832,0,"(1, 1)","((4,), (2,))"
0,65,2,0.61666,0.38334,2.70582181870781,0,"(1, 1)","((4,), (3,))"
0,66,2,0.96642,0.03358,3.457029683510492,0,"(1, 1)","((4,), (1,))"
0,66,2,0.78355,0.21645,3.0854473504141215,0,"(1, 1)","((4,), (2,))"
0,66,2,0.61211,0.38789,2.7233204872298638,0,"(1, 1)","((4,), (3,))"
0,67,2,0.96713,0.03287,3.4521404495953965,0,"(1, 1)","((4,), (1,))"
0,67,2,0.7836,0.2164,3.0852108888880365,0,"(1, 1)","((4,), (2,))"
0,67,2,0.61182,0.38818,2.724340464091675,0,"(1, 1)","((4,), (3,))"
0,68,2,0.96714,0.03286,3.461080152335424,0,"(1, 1)","((4,), (1,))"
0,68,2,0.78632,0.21368,3.092981837907611,0,"(1, 1)","((4,), (2,))"
0,68,2,0.61592,0.38408,2.735465228472214,0,"(1, 1)","((4,), (3,))"
0,69,2,0.96807,0.03193,3.456549065797718,0,"(1, 1)","((4,), (1,))"
0,69,2,0.78446,0.21554,3.0982045138509764,0,"(1, 1)","((4,), (2,))"
0,69,2,0.61404,0.38596,2.7377497769347747,0,"(1, 1)","((4,), (3,))"
0,70,2,0.96743,0.03257,3.484087233347364,0,"(1, 1)","((4,), (1,))"
0,70,2,0.78741,0.21259,3.1212967203672934,0,"(1, 1)","((4,), (2,))"
0,70,2,0.60855,0.39145,2.7546506620386477,0,"(1, 1)","((4,), (3,))"
0,71,2,0.96791,0.03209,3.496849246663029,0,"(1, 1)","((4,), (1,))"
0,71,2,0.78733,0.21267,3.1223869253849634,0,"(1, 1)","((4,), (2,))"
0,71,2,0.61444,0.38556,2.7647489098296827,0,"(1, 1)","((4,), (3,))"
0,72,2,0.96878,0.03122,3.4929299418794084,0,"(1, 1)","((4,), (1,))"
0,72,2,0.789,0.211,3.1286106176731705,0,"(1, 1)","((4,), (2,))"
0,72,2,0.6153,0.3847,2.7649596199330686,0,"(1, 1)","((4,), (3,))"
0,73,2,0.96855,0.03145,3.48584280349525,0,"(1, 1)","((4,), (1,))"
0,73,2,0.7897,0.2103,3.1304467615153495,0,"(1, 1)","((4,), (2,))"
0,73,2,0.61502,0.38498,2.765302138659714,0,"(1, 1)","((4,), (3,))"
0,74,2,0.96869,0.03131,3.516556697879204,0,"(1, 1)","((4,), (1,))"
0,74,2,0.78734,0.21266,3.1552832165915565,0,"(1, 1)","((4,), (2,))"
