probPopping,threshold,numChoices,share1,share2,time,noResolution,startingContents,increaseRates,discoveryRate, discoveryRateOptimal, recruitmentRate
0,7,2,0.5974,0.4025,11.576693511266905,1,"(0, 0)","((2,), (1,))",0.25,0.5,0.5
0,7,2,0.4769,0.5231,11.657396786123345,0,"(0, 0)","((2,), (1,))",0.25,0.4,0.5
0,7,2,0.2275,0.7725,11.929007629343799,0,"(0, 0)","((2,), (1,))",0.25,0.2,0.5
0,7,2,0.6038,0.3962,5.330187261072169,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,7,2,0.4725,0.5275,5.38663451270939,0,"(0, 0)","((2,), (1,))",0.5,0.4,0.5
0,7,2,0.202,0.798,5.49497393661865,0,"(0, 0)","((2,), (1,))",0.5,0.2,0.5
0,8,2,0.4683,0.3722,35.223160090066266,1595,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,8,2,0.382,0.4594,34.882476606582976,1586,"(0, 0)","((2,), (1,))",0.1,0.4,0.5
0,8,2,0.1969,0.6372,35.35896325653003,1659,"(0, 0)","((2,), (1,))",0.1,0.2,0.5
0,8,2,0.5923,0.4076,11.98715755618092,1,"(0, 0)","((2,), (1,))",0.25,0.5,0.5
0,8,2,0.4936,0.5064,12.084017973742338,0,"(0, 0)","((2,), (1,))",0.25,0.4,0.5
0,8,2,0.229,0.771,12.171508345348617,0,"(0, 0)","((2,), (1,))",0.25,0.2,0.5
0,8,2,0.622,0.378,5.572753382189536,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,8,2,0.4709,0.5291,5.652669570135582,0,"(0, 0)","((2,), (1,))",0.5,0.4,0.5
0,8,2,0.1972,0.8028,5.724482013052333,0,"(0, 0)","((2,), (1,))",0.5,0.2,0.5
0,9,2,0.4773,0.3549,35.555642836420766,1678,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,9,2,0.3844,0.4521,35.588750864303435,1635,"(0, 0)","((2,), (1,))",0.1,0.4,0.5
0,9,2,0.1985,0.6433,34.84967333541118,1582,"(0, 0)","((2,), (1,))",0.1,0.2,0.5
0,9,2,0.614,0.386,12.17383938748565,0,"(0, 0)","((2,), (1,))",0.25,0.5,0.5
0,9,2,0.4959,0.5041,12.035161618690106,0,"(0, 0)","((2,), (1,))",0.25,0.4,0.5
0,9,2,0.234,0.766,12.486824373421847,0,"(0, 0)","((2,), (1,))",0.25,0.2,0.5
0,9,2,0.6389,0.3611,5.7309909055381745,0,"(0, 0)","((2,), (1,))",0.5,0.5,0.5
0,9,2,0.4971,0.5029,5.868395435748155,0,"(0, 0)","((2,), (1,))",0.5,0.4,0.5
0,9,2,0.2026,0.7974,5.918755529964748,0,"(0, 0)","((2,), (1,))",0.5,0.2,0.5
0,10,2,0.4811,0.3591,35.04534409976815,1598,"(0, 0)","((2,), (1,))",0.1,0.5,0.5
0,10,2,0.3933,0.4469,35.01862662974849,1598,"(0, 0)","((2,), (1,))",0.1,0.4,0.5
0,10,2,0.193,0.6463,35.83379533660454,1607,"(0, 0)","((2,), (1,))",0.1,0.2,0.5
